FNFNUM,GENUS,SPECIES,TAXON
543,Laurus,nobilis,Laurus nobilis
544,Lavandula,angustifolia,Lavandula angustifolia
545,Lavandula,latifolia,Lavandula latifolia
2005,Lavandula,sp,Lavandula sp
1598,Lavandula,spica,Lavandula spica
2006,Lavandula,x hybrida,Lavandula x hybrida
546,Lavandula,x intermedia,Lavandula x intermedia
547,Lawsonia,inermis,Lawsonia inermis
548,Ledum,palustre,Ledum palustre
1166,Lemaireocereus,griseus,Lemaireocereus griseus
1167,Lemaireocereus,hystrix,Lemaireocereus hystrix
1168,Lemaireocereus,quevedonis,Lemaireocereus quevedonis
1169,Lemaireocereus,stellatus,Lemaireocereus stellatus
1599,Lemaireocereus,thurberi,Lemaireocereus thurberi
1901,Lembotropis,emerifolia,Lembotropis emerifolia
549,Lens,culinaris,Lens culinaris
2163,Lentinus,edodes,Lentinus edodes
550,Leonotis,dysophylla,Leonotis dysophylla
551,Leonotis,leonurus,Leonotis leonurus
552,Leonotis,nepetaefolia,Leonotis nepetaefolia
553,Leonurus,cardiaca,Leonurus cardiaca
2007,Leonurus,heterophyllus,Leonurus heterophyllus
554,Lepechinia,calycina,Lepechinia calycina
1763,Lepechinia,caulescens,Lepechinia caulescens
1764,Lepechinia,chamaedryoides,Lepechinia chamaedryoides
1765,Lepechinia,glomerata,Lepechinia glomerata
555,Lepechinia,schiediana,Lepechinia schiediana
556,Lepidium,sativum,Lepidium sativum
1415,Leptospermum,ericoides,Leptospermum ericoides
5101,Leptospermum,polygalifolium,Leptospermum polygalifolium
1416,Leptospermum,scoparium,Leptospermum scoparium
1902,Lespedeza,cyrtobotrya,Lespedeza cyrtobotrya
1766,Lespedeza,davidii,Lespedeza davidii
557,Levisticum,officinale,Levisticum officinale
1233,Licania,platypus,Licania platypus
1400,Licania,rigida,Licania rigida
558,Ligustrum,japonicum,Ligustrum japonicum
559,Ligustrum,lucidum,Ligustrum lucidum
560,Ligustrum,vulgare,Ligustrum vulgare
1600,Limnophila,rugosa,Limnophila rugosa
1234,Limonia,acidissima,Limonia acidissima
561,Linum,usitatissimum,Linum usitatissimum
1203,Lippia,alba,Lippia alba
562,Lippia,dulcis,Lippia dulcis
563,Lippia,graveolens,Lippia graveolens
564,Liquidambar,orientalis,Liquidambar orientalis
565,Liquidambar,styraciflua,Liquidambar styraciflua
1767,Lithocarpus,attenuata,Lithocarpus attenuata
1601,Lithocarpus,cornea,Lithocarpus cornea
1602,Lithocarpus,elizabethae,Lithocarpus elizabethae
1603,Lithocarpus,haipinii,Lithocarpus haipinii
1604,Lithocarpus,polystachya,Lithocarpus polystachya
566,Lobelia,inflata,Lobelia inflata
567,Lobelia,tupa,Lobelia tupa
568,Lolium,temulentum,Lolium temulentum
569,Lonicera,japonica,Lonicera japonica
570,Lophatherum,gracile,Lophatherum gracile
571,Lophophora,williamsii,Lophophora williamsii
1315,Ludwigia,adscendens,Ludwigia adscendens
1316,Ludwigia,epilobioides,Ludwigia epilobioides
1768,Ludwigia,parviflora,Ludwigia parviflora
1317,Ludwigia,perennis,Ludwigia perennis
572,Luffa,aegyptiaca,Luffa aegyptiaca
1769,Luisia,indivisa,Luisia indivisa
1605,Lumnitzera,racemosa,Lumnitzera racemosa
573,Lupinus,albus,Lupinus albus
1903,Lupinus,angustifolius,Lupinus angustifolius
1904,Lupinus,luteus,Lupinus luteus
574,Lupinus,mutabilis,Lupinus mutabilis
1905,Lupinus,perennis,Lupinus perennis
1906,Lupinus,polyphyllus,Lupinus polyphyllus
575,Lycium,chinense,Lycium chinense
576,Lycopersicon,esculentum,Lycopersicon esculentum
577,Lycopodium,clavatum,Lycopodium clavatum
578,Lycopodium,serratum,Lycopodium serratum
579,Lycopus,americanus,Lycopus americanus
580,Lycopus,europeus,Lycopus europeus
1770,Lycopus,lucidus,Lycopus lucidus
581,Lycopus,uniflorus,Lycopus uniflorus
582,Lycopus,virginicus,Lycopus virginicus
583,Lycoris,radiata,Lycoris radiata
584,Lycoris,squamigera,Lycoris squamigera
585,Lygodium,japonicum,Lygodium japonicum
1907,Lygos,monosperma,Lygos monosperma
1908,Lygos,raetum,Lygos raetum
586,Lythrum,salicaria,Lythrum salicaria
1909,Maackia,amurensis,Maackia amurensis
587,Macadamia,spp,Macadamia spp
1401,Macfadyena,uncata,Macfadyena uncata
1170,Machaerocereus,gummosus,Machaerocereus gummosus
588,Macleaya,cordata,Macleaya cordata
1910,Macroptylium,atropurpureum,Macroptylium atropurpureum
1911,Macroptylium,bracteatum,Macroptylium bracteatum
1912,Macroptylium,lathyroides,Macroptylium lathyroides
1913,Macroptylium,martii,Macroptylium martii
1914,Macrotyloma,axillare,Macrotyloma axillare
1915,Macrotyloma,uniflora,Macrotyloma uniflora
1771,Madhuca,microphylla,Madhuca microphylla
1426,Madhuca,nerifolia,Madhuca nerifolia
589,Magnolia,denudata,Magnolia denudata
590,Magnolia,fargesii,Magnolia fargesii
591,Magnolia,kobus,Magnolia kobus
592,Magnolia,officinalis,Magnolia officinalis
593,Mahonia,aquifolium,Mahonia aquifolium
1402,Malachra,alaceaefolia,Malachra alaceaefolia
1403,Malachra,capitata,Malachra capitata
594,Malpighia,glabra,Malpighia glabra
595,Malus,domestica,Malus domestica
596,Malva,neglecta,Malva neglecta
597,Malva,parviflora,Malva parviflora
598,Malva,sylvestris,Malva sylvestris
1235,Mammea,americana,Mammea americana
599,Mandragora,officinarum,Mandragora officinarum
600,Mangifera,indica,Mangifera indica
601,Manihot,esculenta,Manihot esculenta
1236,Manilkara,zapota,Manilkara zapota
602,Maranta,arundinacea,Maranta arundinacea
604,Marrubium,vulgare,Marrubium vulgare
603,Marsdenia,reichenbachii,Marsdenia reichenbachii
605,Matricaria,recutita,Matricaria recutita
1404,Matteuccia,pennsylvanica,Matteuccia pennsylvanica
1237,Mauritia,flexuosa,Mauritia flexuosa
1772,Maytenus,aquifolium,Maytenus aquifolium
1607,Maytenus,canariensis,Maytenus canariensis
1608,Maytenus,octogona,Maytenus octogona
1609,Maytenus,senegalensis,Maytenus senegalensis
606,Medicago,sativa,Medicago sativa subsp. sativa
1273,Melaleuca,alternifolia,Melaleuca alternifolia
1275,Melaleuca,bracteata,Melaleuca bracteata
2120,Melaleuca,cajuputi,Melaleuca cajuputi
607,Melaleuca,leucadendra,Melaleuca leucadendra
1610,Melaleuca,leucadendron,Melaleuca leucadendron
1274,Melaleuca,linariifolia,Melaleuca linariifolia
2121,Melaleuca,sp,Melaleuca sp
1276,Melaleuca,viridiflora,Melaleuca viridiflora
1195,Melanoxylon,brauna,Melanoxylon brauna
5004,Meleleuca,howeana,Meleleuca howeana
608,Melia,azedarach,Melia azedarach
1238,Melicoccus,bijugatas,Melicoccus bijugatas
609,Melilotus,alba,Melilotus alba
610,Melilotus,indica,Melilotus indica
611,Melilotus,officinalis,Melilotus officinalis
612,Melissa,officinalis,Melissa officinalis
1436,Melochia,tomentosa,Melochia tomentosa
613,Menispermum,canadense,Menispermum canadense
614,Mentha,aquatica,Mentha aquatica
615,Mentha,arvensis var. piperascens,Mentha arvensis var. piperascens
616,Mentha,longifolia,Mentha longifolia
617,Mentha,pulegium,Mentha pulegium
2008,Mentha,rotundifolia,Mentha rotundifolia
2009,Mentha,sp,Mentha sp
618,Mentha,spicata,Mentha spicata
619,Mentha,x piperita,Mentha x piperita subsp. nothosubsp. piperita
620,Mentha,x rotundifolia,Mentha x rotundifolia
621,Menyanthes,trifoliata,Menyanthes trifoliata
622,Mercurialis,annua,Mercurialis annua
1773,Mesua,ferrea,Mesua ferrea
1774,Mesua,myrtifolia,Mesua myrtifolia
1417,Metrosideros,excelsa,Metrosideros excelsa
5104,Metrosideros,nervulosa,Metrosideros nervulosa
5103,Metrosideros,sclerocarpa,Metrosideros sclerocarpa
1405,Michelia,alba,Michelia alba
1406,Michelia,champaca,Michelia champaca
1611,Micromeria,benthamii,Micromeria benthamii
2010,Micromeria,congesta,Micromeria congesta
2011,Micromeria,croatica,Micromeria croatica
2012,Micromeria,dalmatica,Micromeria dalmatica
2076,Micromeria,fruticosa,Micromeria fruticosa subsp. barbata
2075,Micromeria,fruticosa,Micromeria fruticosa
2013,Micromeria,juliana,Micromeria juliana
1407,Micromeria,myrtifolia,Micromeria myrtifolia
2014,Micromeria,teneriffae,Micromeria teneriffae
2015,Micromeria,thymifolia,Micromeria thymifolia
2098,Micromeria,varia,Micromeria varia subsp. thymoides
1408,Micromyrtus,striata,Micromyrtus striata
624,Mimosa,hostilis,Mimosa hostilis
625,Mimosa,pudica,Mimosa pudica
626,Mimulus,glabratus,Mimulus glabratus
1775,Mimusops,littoralis,Mimusops littoralis
2016,Minthostachys,mollis,Minthostachys mollis
627,Mirabilis,expansa,Mirabilis expansa
1318,Mirabilis,jalapa,Mirabilis jalapa
2164,Mitchella,repens,Mitchella repens
5006,Mitracarpus,scaber,Mitracarpus scaber
628,Mitragyna,speciosa,Mitragyna speciosa
1612,Mitrephora,heyneana,Mitrephora heyneana
1916,Moghania,macrophylla,Moghania macrophylla
2017,Moldavica,parviflora,Moldavica parviflora
2018,Moldavica,thymiflora,Moldavica thymiflora
631,Momordica,charantia,Momordica charantia
2077,Monarda,citriodora,Monarda citriodora
633,Monarda,clinopodia,Monarda clinopodia
634,Monarda,didyma,Monarda didyma
635,Monarda,fistulosa,Monarda fistulosa
636,Monarda,lindheimeri,Monarda lindheimeri
637,Monarda,media,Monarda media
638,Monarda,punctata,Monarda punctata
639,Monarda,russeliana,Monarda russeliana
640,Montanoa,tomentosa,Montanoa tomentosa
1409,Montrichardia,arborescens,Montrichardia arborescens
641,Morinda,citrifolia,Morinda citrifolia
642,Morinda,sp,Morinda sp
1435,Moringa,oleifera,Moringa oleifera
643,Morus,alba,Morus alba
1776,Morus,serrata,Morus serrata
1917,Mucuna,deeringiana,Mucuna deeringiana
1918,Mucuna,pruriens,Mucuna pruriens subsp. utilis
644,Mucuna,pruriens,Mucuna pruriens
1239,Muntingia,calabura,Muntingia calabura
1410,Murraya,koenigii,Murraya koenigii
645,Musa,x paradisiaca,Musa x paradisiaca
646,Murraya,sp,Murraya sp
1240,Myrciaria,cauliflora,Myrciaria cauliflora
1241,Myrciaria,dubia,Myrciaria dubia
648,Myrica,cerifera,Myrica cerifera
649,Myristica,fragrans,Myristica fragrans
650,Myroxylon,balsamum,Myroxylon balsamum
652,Myrtus,communis,Myrtus communis
653,Narcissus,tazetta,Narcissus tazetta
654,Nardostachys,chinensis,Nardostachys chinensis
655,Nardostachys,jatamansi,Nardostachys jatamansi
656,Nasturtium,officinale,Nasturtium officinale
657,Nelumbo,nucifera,Nelumbo nucifera
1919,Neonotonia,wightii,Neonotonia wightii
658,Nepeta,cataria,Nepeta cataria
2078,Nepeta,racemosa,Nepeta racemosa
659,Nerium,oleander,Nerium oleander
1613,Neuracanthus,sphaerostachys,Neuracanthus sphaerostachys
660,Neurolaena,lobata,Neurolaena lobata
1777,Newcastelia,viscida,Newcastelia viscida
661,Nicotiana,glauca,Nicotiana glauca
662,Nicotiana,rustica,Nicotiana rustica
663,Nicotiana,tabacum,Nicotiana tabacum
664,Nigella,sativa,Nigella sativa
665,Notopterygium,incisum,Notopterygium incisum
1196,Nuytsia,floribunda,Nuytsia floribunda
1778,Nymphoides,peltatum,Nymphoides peltatum
666,Nyssa,sylvatica,Nyssa sylvatica
1779,Ocimum,americanum,Ocimum americanum
667,Ocimum,basilicum,Ocimum basilicum
2019,Ocimum,canum,Ocimum canum
1287,Ocimum,gratissimum,Ocimum gratissimum
2020,Ocimum,kilimandscharicum,Ocimum kilimandscharicum
2021,Ocimum,sanctum,Ocimum sanctum
2022,Ocimum,sp,Ocimum sp
2023,Ocimum,suave,Ocimum suave
2024,Ocimum,tenuiflorum,Ocimum tenuiflorum
668,Ocotea,glaziovii,Ocotea glaziovii
669,Oenanthe,aquatica,Oenanthe aquatica
670,Oenanthe,crocata,Oenanthe crocata
671,Oenanthe,javanica,Oenanthe javanica
672,Oenothera,biennis,Oenothera biennis
673,Olea,europaea,Olea europaea subsp. europaea
674,Ophiopogon,japonicus,Ophiopogon japonicus
675,Opopanax,chironium,Opopanax chironium
676,Opuntia,ficus-indica,Opuntia ficus-indica
1614,Origanum,compactum,Origanum compactum
677,Origanum,creticum,Origanum creticum
678,Origanum,majorana,Origanum majorana
2025,Origanum,minutiflorum,Origanum minutiflorum
679,Origanum,onites,Origanum onites
2079,Origanum,sipyleum,Origanum sipyleum
2080,Origanum,syriacum,Origanum syriacum
2082,Origanum,vulgare,Origanum vulgare subsp. hirtum
2083,Origanum,vulgare,Origanum vulgare var. hirtum
2084,Origanum,vulgare,Origanum vulgare var. viride
2085,Origanum,vulgare,Origanum vulgare
1920,Ormosia,excelsa,Ormosia excelsa
681,Ornithogalum,umbellatum,Ornithogalum umbellatum
1615,Orthosphenia,mexicana,Orthosphenia mexicana
682,Oryza,sativa,Oryza sativa
683,Oxalis,tuberosa,Oxalis tuberosa
684,Pachira,aquatica,Pachira aquatica
685,Pachira,macrocarpa,Pachira macrocarpa
686,Pachyrhizus,erosus,Pachyrhizus erosus
1780,Paeonia,japonica,Paeonia japonica
687,Paeonia,lactiflora,Paeonia lactiflora
688,Paeonia,moutan,Paeonia moutan
689,Paeonia,officinalis,Paeonia officinalis
690,Paeonia,suffruticosa,Paeonia suffruticosa
1781,Palaquium,grande,Palaquium grande
691,Panax,ginseng,Panax ginseng
692,Panax,japonicus,Panax japonicus
693,Panax,notoginseng,Panax notoginseng
1616,Panax,pseudoginseng,Panax pseudoginseng
694,Panax,quinquefolius,Panax quinquefolius
695,Pancratium,maritimum,Pancratium maritimum
1319,Panicum,maximum,Panicum maximum
696,Papaver,bracteatum,Papaver bracteatum
697,Papaver,somniferum,Papaver somniferum
698,Paris,polyphylla,Paris polyphylla
699,Paris,quadrifolia,Paris quadrifolia
1320,Parthenium,hysterophorus,Parthenium hysterophorus
1243,Passiflora,edulis,Passiflora edulis
1244,Passiflora,foetida,Passiflora foetida
700,Passiflora,incarnata,Passiflora incarnata
1245,Passiflora,ligularis,Passiflora ligularis
1246,Passiflora,mollissima,Passiflora mollissima
701,Passiflora,quadrangularis,Passiflora quadrangularis
1321,Passiflora,suberosa,Passiflora suberosa
702,Pastinaca,sativa,Pastinaca sativa
703,Paullinia,cupana,Paullinia cupana
704,Paullinia,yoko,Paullinia yoko
705,Pausinystalia,johimbe,Pausinystalia johimbe
1322,Pavonia,odorata,Pavonia odorata
1323,Pavonia,spinifex,Pavonia spinifex
1782,Pedicularis,longiflora,Pedicularis longiflora
706,Peganum,harmala,Peganum harmala
2135,Pelargonium,citrosum,Pelargonium citrosum
707,Pelargonium,graveolens,Pelargonium graveolens
1281,Peperomia,pelucida,Peperomia pelucida
1324,Peperomia,pereskiifolia,Peperomia pereskiifolia
1247,Pereskia,aculeata,Pereskia aculeata
1921,Pericopsis,laxiflora,Pericopsis laxiflora
708,Perideridia,gairdneri,Perideridia gairdneri
709,Perilla,frutescens,Perilla frutescens
710,Persea,americana,Persea americana
1248,Persea,schiedeana,Persea schiedeana
711,Petasites,japonicus,Petasites japonicus
1280,Petiveria,alliacea,Petiveria alliacea
712,Petroselinum,crispum,Petroselinum crispum
713,Peucedanum,decursivum,Peucedanum decursivum
714,Peucedanum,ostruthium,Peucedanum ostruthium
715,Peumus,boldus,Peumus boldus
2165,Pfaffia,paniculata,Pfaffia paniculata
2174,Phaseolus,aborigineus,Phaseolus aborigineus
2175,Phaseolus,acutifolius,Phaseolus acutifolius
717,Phaseolus,coccineus,Phaseolus coccineus
718,Phaseolus,lunatus,Phaseolus lunatus
1922,Phaseolus,spp,Phaseolus spp
719,Phaseolus,vulgaris,Phaseolus vulgaris subsp. var. vulgaris
720,Phellodendron,amurense,Phellodendron amurense
1617,Phillyrea,latifolia,Phillyrea latifolia
1618,Phlogacanthus,thyrsiflorus,Phlogacanthus thyrsiflorus
722,Phoradendron,serotinum,Phoradendron serotinum
723,Phyllanthus,acidus,Phyllanthus acidus
2101,Phyllanthus,amarus,Phyllanthus amarus
1783,Phyllanthus,discoideus,Phyllanthus discoideus
724,Phyllanthus,emblica,Phyllanthus emblica
1619,Phyllanthus,flexuosus,Phyllanthus flexuosus
725,Phyllanthus,niruri,Phyllanthus niruri
1620,Phyllanthus,reticulatus,Phyllanthus reticulatus
726,Physalis,alkekingi,Physalis alkekingi
1249,Physalis,angulata,Physalis angulata
727,Physalis,ixocarpa,Physalis ixocarpa
728,Physalis,peruviana,Physalis peruviana
729,Physostigma,venenosum,Physostigma venenosum
1145,Phytelephas,aequatorialis,Phytelephas aequatorialis
1146,Phytelephas,macrocarpa,Phytelephas macrocarpa
730,Phytolacca,americana,Phytolacca americana
731,Picea,glauca,Picea glauca
732,Picea,mariana,Picea mariana
1784,Picramnia,sellowii,Picramnia sellowii
733,Picrasma,excelsa,Picrasma excelsa
734,Picrasma,quassioides,Picrasma quassioides
735,Picrorhiza,kurrooa,Picrorhiza kurrooa
736,Pilocarpus,jaborandi,Pilocarpus jaborandi
737,Pilocarpus,microphyllus,Pilocarpus microphyllus
738,Pilocarpus,pennatifolius,Pilocarpus pennatifolius
739,Pilocarpus,racemosus,Pilocarpus racemosus
740,Pimenta,dioica,Pimenta dioica
741,Pimenta,racemosa,Pimenta racemosa
742,Pimpinella,anisum,Pimpinella anisum
743,Pinellia,ternata,Pinellia ternata
1969,Pinus,cembroides,Pinus cembroides
744,Pinus,echinata,Pinus echinata
1968,Pinus,edulis,Pinus edulis
745,Pinus,elliottii,Pinus elliottii
1082,Pinus,gerardiana,Pinus gerardiana
1970,Pinus,insularis,Pinus insularis
1083,Pinus,kesiya,Pinus kesiya
746,Pinus,mugo,Pinus mugo
747,Pinus,palustris,Pinus palustris
1971,Pinus,pinea,Pinus pinea
1084,Pinus,roxburghii,Pinus roxburghii
748,Pinus,strobus,Pinus strobus
749,Pinus,sylvestris,Pinus sylvestris
1085,Pinus,walliciana,Pinus walliciana
750,Piper,angustifolium,Piper angustifolium
751,Piper,auritum,Piper auritum
752,Piper,betel,Piper betel
753,Piper,cubeba,Piper cubeba
754,Piper,methysticum,Piper methysticum
755,Piper,nigrum,Piper nigrum
1923,Piptanthus,nanus,Piptanthus nanus
1924,Piptanthus,nepalensis,Piptanthus nepalensis
1925,Piscidia,erythrina,Piscidia erythrina
756,Piscidia,piscipula,Piscidia piscipula
757,Pistacia,lentiscus,Pistacia lentiscus
758,Pistacia,vera,Pistacia vera
759,Pisum,sativum,Pisum sativum
760,Plantago,asiatica,Plantago asiatica
761,Plantago,major,Plantago major
762,Plantago,ovata,Plantago ovata
1419,Platanus,accrifolia,Platanus accrifolia
1785,Platanus,acerifolia,Platanus acerifolia
1420,Platanus,occidentalis,Platanus occidentalis
1421,Platanus,orientalis,Platanus orientalis
1422,Platanus,vulgaris,Platanus vulgaris
1250,Platonia,insignis,Platonia insignis
764,Platycodon,grandiflorum,Platycodon grandiflorum
1434,Plectranthus,amboinicus,Plectranthus amboinicus
2026,Plectranthus,coleoides,Plectranthus coleoides
1621,Plectranthus,rugosus,Plectranthus rugosus
2086,Plectranthus,trichocarpus,Plectranthus trichocarpus
1786,Plectranthus,urticifolius,Plectranthus urticifolius
1325,Pluchea,carolinensis,Pluchea carolinensis
765,Plumeria,acutifolia,Plumeria acutifolia
1787,Plumeria,obtusa,Plumeria obtusa
1926,Podocarpus,spicatus,Podocarpus spicatus
1086,Podophyllum,hexandrum,Podophyllum hexandrum
766,Podophyllum,peltatum,Podophyllum peltatum
1087,Podophyllum,pleianthum,Podophyllum pleianthum
767,Pogostemon,cablin,Pogostemon cablin
768,Polianthes,tuberosa,Polianthes tuberosa
1304,Polygala,penaea,Polygala penaea
769,Polygala,senega,Polygala senega
770,Polygala,tenuifolia,Polygala tenuifolia
771,Polygonum,aviculare,Polygonum aviculare
772,Fallopia,japonica,Fallopia japonica
773,Polygonum,hydropiper,Polygonum hydropiper
774,Polygonum,hydropiperoides,Polygonum hydropiperoides
775,Polygonum,multiflorum,Polygonum multiflorum
1788,Polygonum,plebeium,Polygonum plebeium
776,Polymnia,edulis,Polymnia edulis
777,Polypodium,aureum,Polypodium aureum
778,Polypodium,vulgare,Polypodium vulgare
779,Polystichum,polyblepharum,Polystichum polyblepharum
1789,Pongamia,pinnata,Pongamia pinnata
780,Populus,balsamifera,Populus balsamifera
781,Populus,nigra,Populus nigra
782,Populus,tacamahacca,Populus tacamahacca
1622,Porteresia,coarctata,Porteresia coarctata
783,Portulaca,oleracea,Portulaca oleracea
784,Pothomorphe,sp.,Pothomorphe sp.
1251,Pourouma,cecropiaefolia,Pourouma cecropiaefolia
1252,Pouteria,caimito,Pouteria caimito
1253,Pouteria,campechiana,Pouteria campechiana
1790,Pouteria,torta,Pouteria torta
1254,Pouteria,viridis,Pouteria viridis
1623,Premna,integrifolia,Premna integrifolia
785,Prosopis,juliflora,Prosopis juliflora
786,Prunella,vulgaris,Prunella vulgaris
1927,Prunus,aequinoctialis,Prunus aequinoctialis
2160,Prunus,africana,Prunus africana
787,Prunus,armeniaca,Prunus armeniaca
1255,Prunus,avium,Prunus avium
788,Prunus,cerasus,Prunus cerasus
789,Prunus,domestica,Prunus domestica
790,Prunus,dulcis,Prunus dulcis
791,Prunus,laurocerasus,Prunus laurocerasus
1928,Prunus,mahaleb,Prunus mahaleb
1929,Prunus,maximowiczii,Prunus maximowiczii
1930,Prunus,nipponica,Prunus nipponica
1624,Prunus,pensylvanica,Prunus pensylvanica
792,Prunus,persica,Prunus persica
1256,Prunus,salicifolia,Prunus salicifolia
793,Prunus,serotina,Prunus serotina subsp. serotina
794,Prunus,spinosa,Prunus spinosa
1931,Prunus,spp,Prunus spp
1932,Prunus,verecunda,Prunus verecunda
1326,Pseudelephantopus,spicatus (juss.) gleason,Pseudelephantopus spicatus (juss.) gleason
1933,Pseudeminia,comosa,Pseudeminia comosa
1934,Pseudoeriosema,borianii,Pseudoeriosema borianii
1935,Pseudovigna,argentea,Pseudovigna argentea
795,Psidium,cattleianum,Psidium cattleianum
796,Psidium,guajava,Psidium guajava
797,Psophocarpus,tetragonolobus,Psophocarpus tetragonolobus
798,Psoralea,corylifolia,Psoralea corylifolia
799,Psoralea,esculenta,Psoralea esculenta
1625,Psychotria,adenophylla,Psychotria adenophylla
800,Pteridium,aquilinum,Pteridium aquilinum
801,Pterocarpus,marsupium,Pterocarpus marsupium
802,Pterocarpus,santalinus,Pterocarpus santalinus
1626,Pterospermum,acerifolium,Pterospermum acerifolium
1627,Pterospermum,lanceaefolium,Pterospermum lanceaefolium
1628,Pterospermum,suberifolium,Pterospermum suberifolium
1629,Pterospermum,xylocarpum,Pterospermum xylocarpum
803,Ptychopetalum,olacoides,Ptychopetalum olacoides
804,Pueraria,montana,Pueraria montana subsp. var. lobata
1937,Pueraria,montana,Pueraria montana
1938,Pueraria,phaseoloides,Pueraria phaseoloides
805,Pueraria,pseudohirsuta,Pueraria pseudohirsuta
806,Pulsatilla,chinensis,Pulsatilla chinensis
807,Punica,granatum,Punica granatum
1791,Putoria,calabrica,Putoria calabrica
808,Pycnanthemum,albescens,Pycnanthemum albescens
809,Pycnanthemum,beadlei,Pycnanthemum beadlei
810,Pycnanthemum,californicum,Pycnanthemum californicum
811,Pycnanthemum,clinopodioides,Pycnanthemum clinopodioides
812,Pycnanthemum,curvipes,Pycnanthemum curvipes
813,Pycnanthemum,flexuosum,Pycnanthemum flexuosum
814,Pycnanthemum,incanum,Pycnanthemum incanum
815,Pycnanthemum,loomisii,Pycnanthemum loomisii
816,Pycnanthemum,montanum,Pycnanthemum montanum
817,Pycnanthemum,muticum,Pycnanthemum muticum
818,Pycnanthemum,nudum,Pycnanthemum nudum
819,Pycnanthemum,pilosum,Pycnanthemum pilosum
820,Pycnanthemum,pycnanthemoides,Pycnanthemum pycnanthemoides
821,Pycnanthemum,setosum,Pycnanthemum setosum
822,Pycnanthemum,tenuifolium,Pycnanthemum tenuifolium
823,Pycnanthemum,torreyi,Pycnanthemum torreyi
824,Pycnanthemum,verticillatum,Pycnanthemum verticillatum
825,Pycnanthemum,virginianum,Pycnanthemum virginianum
1792,Pygeum,acuminatum,Pygeum acuminatum
1630,Pyropolyporus,fomentarius,Pyropolyporus fomentarius
826,Pyrus,communis,Pyrus communis
1257,Quararibea,cordata,Quararibea cordata
827,Quassia,amara,Quassia amara
828,Quercus,alba,Quercus alba
1631,Quercus,bambusaefolia,Quercus bambusaefolia
1632,Quercus,championi,Quercus championi
829,Quercus,infectoria,Quercus infectoria
1633,Quercus,myrsinaefolia,Quercus myrsinaefolia
830,Quercus,phellos,Quercus phellos
831,Quercus,robur,Quercus robur
832,Quercus,rubra,Quercus rubra
833,Quercus,stellata,Quercus stellata
834,Quercus,suber,Quercus suber
835,Quercus,velutina,Quercus velutina
836,Quillaja,saponaria,Quillaja saponaria
837,Quisqualis,indica,Quisqualis indica
1634,Rabdosia,adenantha,Rabdosia adenantha
838,Ranunculus,bulbosus,Ranunculus bulbosus
839,Raphanus,sativus,Raphanus sativus
840,Rauvolfia,serpentina,Rauvolfia serpentina
841,Rauvolfia,tetraphylla,Rauvolfia tetraphylla
842,Rauvolfia,vomitoria,Rauvolfia vomitoria
843,Rehmannia,glutinosa,Rehmannia glutinosa
844,Frangula,purshiana,Frangula purshiana
1635,Rheedia,gardneriana,Rheedia gardneriana
845,Rheum,officinale,Rheum officinale
846,Rheum,palmatum,Rheum palmatum
847,Rheum,rhabarbarum,Rheum rhabarbarum
848,Rhizophora,mangle,Rhizophora mangle
1636,Rhizophora,mucronata,Rhizophora mucronata
1637,Rhododendron,anthopogon,Rhododendron anthopogon
1185,Rhododendron,arboreum,Rhododendron arboreum
849,Rhododendron,dauricum,Rhododendron dauricum
850,Rhododendron,ferrugineum,Rhododendron ferrugineum
1184,Rhododendron,grande,Rhododendron grande
1638,Rhododendron,ledebourii,Rhododendron ledebourii
851,Rhododendron,molle,Rhododendron molle
852,Rhododendron,ponticum,Rhododendron ponticum
1639,Rhododendron,schotense,Rhododendron schotense
1640,Rhodomyrtus,tomentosa,Rhodomyrtus tomentosa
853,Rhodymenia,palmata,Rhodymenia palmata
1327,Rhoeo,spathacea,Rhoeo spathacea
1641,Rhus,alata,Rhus alata
854,Rhus,copallina,Rhus copallina
855,Rhus,glabra,Rhus glabra
856,Rhus,toxicodendron,Rhus toxicodendron
1642,Rhus,typhina,Rhus typhina
1939,Rhynchosia,acuminatifolia,Rhynchosia acuminatifolia
1940,Rhynchosia,cabibaea,Rhynchosia cabibaea
1941,Rhynchosia,densiflora,Rhynchosia densiflora
1942,Rhynchosia,hirsuta,Rhynchosia hirsuta
857,Rhynchosia,minima,Rhynchosia minima
1943,Rhynchosia,phaseoloides,Rhynchosia phaseoloides
1944,Rhynchosia,pyramidalis,Rhynchosia pyramidalis
1945,Rhynchosia,volubilis,Rhynchosia volubilis
858,Ribes,nigrum,Ribes nigrum
859,Ribes,rubrum,Ribes rubrum
860,Ribes,uva-crispa,Ribes uva-crispa
861,Ricinus,communis,Ricinus communis
862,Rivea,corymbosa,Rivea corymbosa
863,Robinia,pseudoacacia,Robinia pseudoacacia
1258,Rollinia,mucosa,Rollinia mucosa
864,Rorippa,islandica,Rorippa islandica
865,Rosa,canina,Rosa canina
866,Rosa,centifolia,Rosa centifolia
867,Rosa,damascena,Rosa damascena
1794,Rosa,davurica,Rosa davurica
868,Rosa,gallica,Rosa gallica
869,Rosa,laevigata,Rosa laevigata
870,Rosa,multiflora,Rosa multiflora
871,Rosa,rubiginosa,Rosa rubiginosa
872,Rosa,spp,Rosa spp
2087,Rosmarinus,eriocalyx,Rosmarinus eriocalyx
873,Rosmarinus,officinalis,Rosmarinus officinalis
2028,Rosmarinus,tomentosus,Rosmarinus tomentosus
