FNFNUM,GENUS,SPECIES,TAXON
147,Balanites,aegyptiacus,Balanites aegyptiacus
1164,Balanops,australiana,Balanops australiana
148,Ballota,nigra,Ballota nigra
149,Banisteriopsis,caapi,Banisteriopsis caapi
1833,Baptisia,hirsuta,Baptisia hirsuta
1834,Baptisia,sp,Baptisia sp
1835,Baptisia,sphaerocarpa,Baptisia sphaerocarpa
150,Baptisia,tinctoria,Baptisia tinctoria
151,Barosma,betulina,Barosma betulina
152,Basella,alba,Basella alba
1700,Bauhinia,vahlii,Bauhinia vahlii
153,Belamcanda,chinensis,Belamcanda chinensis
154,Benincasa,hispida,Benincasa hispida
155,Berberis,vulgaris,Berberis vulgaris
156,Bertholletia,excelsa,Bertholletia excelsa
157,Beta,vulgaris,Beta vulgaris subsp. subsp. vulgaris
1464,Betula,alba,Betula alba
1465,Betula,alleghaniensis,Betula alleghaniensis
1466,Betula,caerulea,Betula caerulea
1746,Betula,caerulea-grandis,Betula caerulea-grandis
1467,Betula,cordifolia,Betula cordifolia
1468,Betula,dahurica,Betula dahurica
1469,Betula,ermanii,Betula ermanii
158,Betula,lenta,Betula lenta
1470,Betula,maximowicziana,Betula maximowicziana
1471,Betula,papyrifera,Betula papyrifera
1165,Betula,pendula,Betula pendula
1472,Betula,platyphylla,Betula platyphylla
1473,Betula,populifolia,Betula populifolia
1474,Betula,sp.,Betula sp.
1475,Betula,utilis,Betula utilis
2130,Bidens,pilosa,Bidens pilosa
1186,Bischofia,javanica,Bischofia javanica
159,Bixa,orellana,Bixa orellana
160,Blechnum,orientale,Blechnum orientale
161,Bletilla,striata,Bletilla striata
162,Blighia,sapida,Blighia sapida
163,Bocconia,arborea,Bocconia arborea
164,Bocconia,frutescens,Bocconia frutescens
1701,Boehmeria,excelsa,Boehmeria excelsa
165,Boehmeria,nivea,Boehmeria nivea
1702,Bonnetia,dinizii,Bonnetia dinizii
166,Borago,officinalis,Borago officinalis
167,Boronia,megastigma,Boronia megastigma
168,Boswellia,sacra,Boswellia sacra
2157,Boswellia,serrata,Boswellia serrata
1836,Bowdichia,nitida,Bowdichia nitida
1340,Bowdichia,virgilioides,Bowdichia virgilioides
170,Brassica,chinensis,Brassica chinensis
171,Brassica,juncea,Brassica juncea
172,Brassica,napus var. napobrassica,Brassica napus var. napobrassica var. napobrassica
173,Brassica,nigra,Brassica nigra
174,Brassica,oleracea var. botrytis l.,Brassica oleracea var. botrytis l. var. botrytis
176,Brassica,oleracea var. capitata l.,Brassica oleracea var. capitata l. var. capitata
175,Brassica,oleracea var. gemmifera,Brassica oleracea var. gemmifera var. gemmifera
180,Brassica,oleracea,Brassica oleracea var. gongylodes
178,Brassica,oleracea var. viridis l.,Brassica oleracea var. viridis l.
181,Brassica,pekinensis,Brassica pekinensis
183,Brassica,rapa,Brassica rapa var. rapa
182,Brassica,rapa,Brassica rapa
184,Bromelia,pinguin,Bromelia pinguin
1216,Brosimum,alicastrum,Brosimum alicastrum
185,Broussonetia,papyrifera,Broussonetia papyrifera
623,Brugmansia,amesianum,Brugmansia amesianum
1476,Bruguiera,gymnorrhiza,Bruguiera gymnorrhiza
186,Brunfelsia,uniflorus,Brunfelsia uniflorus
187,Bryonia,alba,Bryonia alba
188,Bupleurum,chinense,Bupleurum chinense
1477,Bupleurum,salicifolium,Bupleurum salicifolium
189,Bursera,delpechiana,Bursera delpechiana
190,Bursera,simaruba,Bursera simaruba
1478,Buxus,microphylla,Buxus microphylla
191,Buxus,sempervirens,Buxus sempervirens
1703,Buxus,wallichiana,Buxus wallichiana
1217,Byrsonima,crassifolia,Byrsonima crassifolia
1704,Byrsonima,sericea,Byrsonima sericea
1705,Caesalpinia,decapetala,Caesalpinia decapetala
192,Caesalpinia,pulcherrima,Caesalpinia pulcherrima
193,Cajanus,cajan,Cajanus cajan
1837,Cajanus,scarabaeoides,Cajanus scarabaeoides
194,Caladium,bicolor,Caladium bicolor
1341,Calamintha,nepeta,Calamintha nepeta subsp. glandulosa
1987,Calamintha,nepeta,Calamintha nepeta
1209,Calathea,allouia,Calathea allouia
1210,Calathea,macrosepala,Calathea macrosepala
195,Calea,zacatechichi,Calea zacatechichi
196,Calendula,officinalis,Calendula officinalis
1838,Calicotome,spinosa,Calicotome spinosa
1839,Calicotome,villosa,Calicotome villosa
1706,Callicarpa,arborea,Callicarpa arborea
1479,Callistemon,lanceolatus,Callistemon lanceolatus
1188,Calophyllum,apetalum,Calophyllum apetalum
1189,Calophyllum,bracteatum,Calophyllum bracteatum
1707,Calophyllum,lankaensis,Calophyllum lankaensis
1708,Calophyllum,macrocarpum,Calophyllum macrocarpum
1709,Calophyllum,tomentosum,Calophyllum tomentosum
1840,Calopogonium,caeruleum,Calopogonium caeruleum
197,Calotropis,sp.,Calotropis sp.
198,Camellia,sinensis,Camellia sinensis
1841,Camptosema,sp,Camptosema sp
199,Camptotheca,acuminata,Camptotheca acuminata
200,Cananga,odorata,Cananga odorata
201,Canarium,indicum,Canarium indicum
1480,Canavalia,bonariensis,Canavalia bonariensis
202,Canavalia,ensiformis,Canavalia ensiformis
1842,Canavalia,eurycarpa,Canavalia eurycarpa
1843,Canavalia,galeata,Canavalia galeata
1844,Canavalia,gladiata,Canavalia gladiata
1845,Canavalia,rosea,Canavalia rosea
1846,Canavalia,sericea,Canavalia sericea
1847,Canavalia,virosa,Canavalia virosa
203,Canna,indica,Canna indica
204,Cannabis,sativa,Cannabis sativa
205,Capparis,spinosa,Capparis spinosa
206,Capsella,bursa-pastoris,Capsella bursa-pastoris
207,Capsicum,annuum,Capsicum annuum
208,Capsicum,frutescens,Capsicum frutescens
1190,Caraipa,densiflora,Caraipa densiflora
1481,Caraipa,densifolia,Caraipa densifolia
1191,Caraipa,grandifolia,Caraipa grandifolia
1211,Carapa,guianensis,Carapa guianensis
1482,Careya,arborea,Careya arborea
209,Carica,papaya,Carica papaya
1218,Carica,pentagona,Carica pentagona
1483,Carlina,corymbosa,Carlina corymbosa
210,Carthamus,tinctorius,Carthamus tinctorius
211,Carum,carvi,Carum carvi
212,Carya,glabra,Carya glabra
213,Carya,illinoensis,Carya illinoensis
214,Carya,ovata,Carya ovata
1219,Casimiroa,edulis,Casimiroa edulis
1147,Cassia,angustifolia,Cassia angustifolia
215,Cassia,grandis,Cassia grandis
216,Cassia,marilandica,Cassia marilandica
1710,Cassia,obtusifolia,Cassia obtusifolia
1484,Cassia,siamea,Cassia siamea
217,Cassia,tora,Cassia tora
1711,Cassinia,laevis,Cassinia laevis
1485,Cassinia,uncata,Cassinia uncata
218,Castanea,dentata,Castanea dentata
219,Castanea,mollisima,Castanea mollisima
220,Castanea,sativa,Castanea sativa
1486,Castanopsis,concinna,Castanopsis concinna
1487,Castanopsis,eyrei,Castanopsis eyrei
1488,Castanopsis,lamontii,Castanopsis lamontii
221,Castanospermum,australe,Castanospermum australe
1297,Catalpa,bignonioides,Catalpa bignonioides
1298,Catalpa,longissima,Catalpa longissima
222,Catalpa,ovata,Catalpa ovata
223,Catha,edulis,Catha edulis
224,Catharanthus,lanceus,Catharanthus lanceus
1967,Catharanthus,longifolius,Catharanthus longifolius
225,Catharanthus,roseus,Catharanthus roseus
226,Caulophyllum,thalictroides,Caulophyllum thalictroides
1423,Ceanothus,americanus,Ceanothus americanus
1712,Ceanothus,velutinus,Ceanothus velutinus
227,Cedrela,odorata,Cedrela odorata
228,Cedrus,deodora,Cedrus deodora
229,Cedrus,libani,Cedrus libani
1204,Ceiba,pentandra,Ceiba pentandra
230,Celosia,cristata,Celosia cristata
231,Cenchrus,biflorus,Cenchrus biflorus
232,Centaurea,calcitrapa,Centaurea calcitrapa
233,Centaurea,cyanus,Centaurea cyanus
234,Centaurium,erythraea,Centaurium erythraea
235,Centella,asiatica,Centella asiatica
1848,Centrosema,pascuorum,Centrosema pascuorum
1849,Centrosema,plumieri,Centrosema plumieri
1850,Centrosema,sagittatum,Centrosema sagittatum
1851,Centrosema,schiedianum,Centrosema schiedianum
236,Cephaelis,ipecacuanha,Cephaelis ipecacuanha
237,Cephalotaxus,drupacea,Cephalotaxus drupacea
238,Cephalotaxus,fortunei,Cephalotaxus fortunei
239,Cephalotaxus,hainanensis,Cephalotaxus hainanensis
240,Cephalotaxus,harringtonii,Cephalotaxus harringtonii
241,Cephalotaxus,mannii,Cephalotaxus mannii
242,Cephalotaxus,spp,Cephalotaxus spp
