574,Tarhui
575,Wolfberry
576,Tomato
577,Antler Herb
577,Clubmoss
578,Chin-Pu-Huan
578,Clubmoss
578,Huperzia
579,American Bugle
580,European Bugle
581,One-Flowered Bugle
582,Bugle
583,Spider Lily
584,Magic Lily
584,Resurrection Lily
585,Climbing Fern
586,Purple Loosestrife
587,Macadamia
588,Plume Poppy
589,Hsin-I
589,Xin-Yi
590,Hsin-I
590,Xin-Yi
591,Hsin-I
591,Xin-Yi
592,Chinese Magnolia
592,Hou Pu
593,Oregon Grape
594,Acerola
595,Apple
596,Cheeses
596,Common Mallow
597,Cheeseweed
598,High Mallow
599,Mandrake
600,Mango
601,Cassava
601,Tapioca
601,Yuca
602,Arrowroot
602,Bermuda Arrowroot
603,Condurango
604,Horehound
605,Annual Camomile
605,German Camomile
605,Wild Camomile
606,Alfalfa
606,Lucerne
607,Cajeput
608,Chinaberry
609,White Melilot
610,Small-Flowered Melilot
611,Yellow Sweetclover
612,Balm
612,Lemonbalm
612,Melissa
613,Moonseed
614,Water Mint
615,Cornmint
615,Field Mint
615,Japanese Mint
616,Biblical Mint
617,European Pennyroyal
618,Spearmint
619,Peppermint
620,Applemint
621,Bogbean
621,Buckbean
622,Annual Mercury
623,Culebra
624,Jurema
624,Yurema
625,Sensitive Plant
626,Huaca-Mullo
627,Miso
627,Tazo
628,Kratum
629,Small-Flowered Moldavica
630,Thyme-Flowered Moldavica
631,Bitter Melon
631,Sorosi
633,Clinopod Bergamot
634,Beebalm
634,Oswego Tea
635,Wild Bergamot
636,Lindheimer's Monarda
637,Mean Monarda
638,Horsemint
639,Russel's Monarda
640,Montanoa
641,Indian Mulberry
642,Morinda
643,Sang-Pai-Pi
643,White Mulberry
644,Cowage
644,Velvetbean
645,Banana
646,None
648,Bayberry
648,Wax Myrtle
649,Mace
649,Nutmeg
650,Peru Balsam
652,Myrtle
653,Daffodil
654,Chinese Spikenard
655,Indian Nard
655,Spikenard
656,Berro
656,Watercress
657,Water Lotus
658,Catnip
659,Oleander
660,Bitter Wood
660,Contragavilana
661,Tree Tobacco
662,Aztec Tobacco
663,Tobacco
664,Black Cumin
665,Qiang Huo
666,Black Gum
666,Black Tupelo
667,Basil
668,Ocotea
669,Water Fennel
669,Water Hemlock
670,Water Dropwort
671,Javan Water Dropwort
672,Evening-Primrose
673,Olive
674,Mai-Men-Dong
674,Mai-Men-Tung
675,Hercules All Heal
675,Opopanax
676,Indian Fig
677,Dittany Of Crete
678,Marjoram
679,Oregano
679,Pot Marjoram
681,Star Of Bethlehem
682,Rice
683,Oca
683,Papa Roja
683,Quiba
684,Provision Tree
685,Large-Fruited Provision Tree
686,Yambean
687,Chih-Shao
687,Peony
688,Moutan
688,Tree Peony
689,Double Peony
690,Moutan
690,Tree Peony
691,Chinese Ginseng
691,Oriental Ginseng
692,Japanese Ginseng
693,Sanchi Ginseng
694,American Ginseng
695,Sea Daffodil
696,Great Scarlet Poppy
697,Opium Poppy
698,Polyphyllous Paris
699,Herb Paris
700,Manzana de Mayo
700,Mayapple
700,Passionflower
701,Granadilla
702,Parsnip
703,Guarana
704,Yoko
705,Yohimbe
706,Harmel
706,Syrian Rue
707,Rose Geranium
707,Scented Geranium
708,Squaw Root
709,Perilla
710,Avocado
711,Butterbur
712,Parsley
713,Qian Hu
714,Masterwort
715,Boldo
717,Scarlet Runner Bean
718,Butter Bean
718,Lima Bean
719,Black Bean
719,Green Bean
719,Haricot Bean
720,Huang Po
720,Po Mu
721,Date Palm
722,Eastern Mistletoe
723,Indian Gooseberry
723,Otaheite Gooseberry
724,Emblic
724,Myrobalan
725,Seed On The Leaf
726,Bladderherb
726,Lantern
727,Tomatillo
728,Cape Gooseberry
728,Ground Cherry
729,Calabar Bean
730,Pokeweed
731,White Spruce
732,Black Spruce
733,Bitterwood
733,Jamaican Quassia
734,Lignum Quassia
734,Nigaki
734,Shurni
735,Picrorhiza
736,Indian Hemp
736,Pernambuco Jaborandi
737,Maranhao Jaborandi
738,Paraguay Jaborandi
739,Guadalupe Jaborandi
740,Allspice
741,Bayrum Tree
742,Anise
743,Ban-Xia
743,Pan-Hsia
744,Shortleaf Pine
745,Slash Pine
746,Dwarf Pine
746,Swiss Mountain Pine
747,Longleaf Pine
748,Eastern White Pine
748,White Pine
749,Scotch Pine
750,Matico
751,Cordoncillo
752,Betel Pepper
753,Cubeb
754,Kava-Kava
755,Black Pepper
756,Jamaica Dogwood
757,Mastic
758,Pistachio
759,Pea
760,Asian Plantain
761,Common Plantain
762,Blond Psyllium
762,Ispaghula
762,Spogel Seeds
763,Psyllium
764,Balloon Flower
764,Chieh-Keng
764,Jie-Geng
765,Frangipani
766,Mayapple
767,Patchouli
768,Tuberose
769,Seneca Snakeroot
769,Senega
770,Chinese Senega
771,Prostrate Knotweed
772,Japanese Knotweed
773,Common Smartweed
774,Mild Water Pepper
775,Chinese Cornbind
775,Fleeceflower
775,Fo Ti
776,Andean Jicama
777,Calaguala
778,Common Polypody
778,Sweet Fern
779,Chinese Polystichum
780,Balsam Poplar
781,Black Poplar
782,Balm Of Gilead
783,Purslane
784,Santiago
785,Mesquite
786,Self-Heal
787,Apricot
788,Sour Cherry
789,Plum
790,Almond
791,Cherry Laurel
792,Peach
793,Black Cherry
793,Wild Cherry
794,Blackthorn
794,Sloe
795,Strawberry Guava
796,Guava
797,Asparagus Pea
797,Goa Bean
797,Winged Bean
798,Babchi
798,Black Dot
798,Malaya Tea
799,Indian Bread-Root
800,Bracken
800,Bracken Fern
801,Indian Kino
801,Malabar Kino
802,Red Saunders
803,Muira Puama
804,Kudzu
805,Chinese Kudzu
806,Chinese Anemone
807,Pomegranate
808,White Mountain Mint
809,Beadle's Mountain Mint
810,California Mountain Mint
811,Clinopod Mountain Mint
812,Curved Mountain Mint
813,Flexuose Mountain Mint
814,Hoary Mountain Mint
815,Loomis' Mountain Mint
816,Montane Mountain Mint
817,Muticous Mountain Mint
818,Nude Mountain Mint
819,Pilose Mountain Mint
820,Typical Mountain Mint
821,Setose Mountain Mint
822,Slenderleaf Mountain Mint
823,Torrey's Mountain Mint
824,Whorled Mountain Mint
825,Virginia Mountain Mint
826,Pear
827,Bitterwood
827,Quassia
828,White Oak
829,Aleppo Oak
829,Dyer's Oak
829,Gall Oak
830,Willow Oak
831,English Oak
832,Northern Red Oak
833,Post Oak
834,Cork Oak
835,Black Oak
836,Soapbark
837,Rangoon Creeper
838,Bulbous Buttercup
839,Radish
840,Indian Snakeroot
840,Serpentine Wood
841,Four-Leaf Devilpepper
841,Pinque-Pinque
842,African Snakeroot
843,Chinese Foxglove
844,Cascara Sagrada
845,Chinese Rhubarb
846,Chinese Rhubarb
847,Rhubarb
848,Red Mangrove
849,Chinese Alpenrose
850,Rusty-Leaved Alpenrose
851,Yellow Azalea
852,Pontic Alpenrose
853,Dulse
854,Dwarf Sumac
854,Winged Sumac
855,Smooth Sumac
856,Poison Ivy
857,Burn Mouth Vine
858,Black Currant
859,Red Currant
859,White Currant
860,Gooseberry
861,Castorbean
862,Snakeplant
863,Black Locust
864,Marshcress
865,Rose
866,Cabbage Rose
867,Damask Rose
868,French Rose
869,Cherokee Rose
870,Multiflora Rose
871,Rosa Mosqueta
872,Rose Hips
873,Rosemary
874,Madder
875,Cloudberry
876,Chinese Raspberry
877,Blackberry
878,Red Raspberry
879,Garden Sorrel
880,Sheep Sorrel
881,Curly Dock
881,Lengua De Vaca
881,Yellow Dock
882,Canaigre
883,Butcher's Broom
884,Rue
885,White Willow
886,Seer Sage
887,Dan-Shen
887,Red Sage
887,Tan-Shen
888,Sage
889,Clary Sage
890,Greek Sage
891,American Elder
891,Elderberry
892,European Alder
893,Bloodroot
894,Small Burnet
895,Greater Burnet
896,African Bowstring Hemp
896,Snake Plant
897,White Sandalwood
898,Lavender Cotton
899,Soma
900,Sassafras
901,Douglas' Savory
902,Smooth Savory
903,Summer Savory
904,Winter Savory
905,Common Savory
906,Costus
906,Kuth
907,California Peppertree
907,Mastic-Tree
907,Peruvian Peppertree
908,Brazilian Peppertree
909,Chinese Magnolia Vine
909,Schizandra
910,Ching-Chieh
910,Jing-Jie
911,Sabadilla
912,Marula
913,Scopolia
914,Hsuan-Shen
914,Yuan-Shen
915,Chinese Skullcap
915,Huang Qin
916,Hybrid Skullcap
917,Discolor Skullcap
918,Marsh Skullcap
919,Mad-Dog Skullcap
920,Small Skullcap
921,Chayote
922,Night-Blooming Cereus
923,Liferoot
923,Squawweed
924,Ringworm Bush
925,Sicklepod
926,Coffee Senna
927,Saw Palmetto
928,Sesame
929,Broomweed
929,Teaplant
930,Hsi Chien
930,Saint Paul'Swort
931,Milk Thistle
932,Simaruba Bark
933,Simaruba Bark
934,Jojoba
935,White Mustard
936,Ching-Feng-Teng
937,China Root
938,Sarsaparilla
939,Horsenettle
940,Bitter Nightshade
940,Bittersweet
941,Love Apple
941,Susumber
942,Aubergine
942,Eggplant
943,Black Nightshade
944,Susumba
944,Wild Eggplant
945,Potato
946,European Goldenrod
946,Woundwort
947,Cerraja
947,Sow Thistle
948,Narrowleaf Sophora
949,Japanese Pagoda Tree
950,Siberian Pachycarpa
951,Mescal Bean
952,Shan Dou Gen
953,Rowan Berry
954,Genet
954,Spanish Broom
954,Weaver's Broom
955,African Yam Bean
955,Yam Pea
956,Indian Pink
956,Pinkroot
957,Spinach
958,Spirulina
959,Ambarella
960,Yellow Mombin
960,Yellow Plum
961,Yellow Mombin
961,Yellow Plum
962,Purple Jobo
962,Purple Plum
963,Imbu
963,Umbu
964,Downy Woundwort
965,Betony
965,Wood Betony
966,Verbena
967,Brazilian Tea
968,Chickweed
969,Indian Tape-Vine
970,Japanese Tape-Vine
971,Stephania
972,Karaya
973,Ca-A-E
973,Sweet Leaf of Paraguay
974,Queen's-Delight
974,Stillingia
975,Ouabain
976,Hispid Ouabain
977,Kombe Arrow Poison
978,Nux-Vomica
978,Stychnine
979,Benzoin
979,Onycha
979,Styrax
980,Siam Benzoin
981,Billy Webb
981,Cascara Amarga
982,Chirata
982,Chiretta
983,Buckbush
984,Comfrey
985,Skunk Cabbage
986,Clove
987,Pau D'Arco
988,Iboga
989,Marigold
990,Wild Marigold
991,French Marigold
992,Tamarind
993,Tansy
994,Mongoloid Dandelion
995,Dandelion
996,Common Yew
997,Yellow Elder
998,White Tephrosia
999,Purple Tephrosia
999,Wild Indigo
1000,Devil's Shoestring
1001,Fish Poison Bean
1002,Indian Almond
1003,Ink Nut
1003,Myrobalan
1004,Arar Tree
1004,Sandarac
1005,New Zealand Spinach
1006,Rice Paper Tree
1006,Tong-Cao
1006,Tung-Tsao
1007,Wall Germander
1008,Cat Thyme
1009,Golden Germander
1010,Cacao
1011,Arbor-Vitae
1011,Northern White-Cedar
1012,'Sicilian' Thyme
1012,Spanish Origanum
1012,Spanish Thyme
1013,Spanish Marjoram
1014,Orosped Thyme
1015,Creeping Thyme
1016,Common Thyme
1016,Garden Thyme
1017,Basswood
1017,Lime
1017,Linden
1018,Ajwan
1019,Salsify
1020,Snakegourd
1021,Chinese Cucumber
1022,Red Clover
1023,Fenugreek
1024,Yellow Vine
1025,Wheat
1026,Nasturtium
1027,Anu
1027,Mashua
1028,Eastern Hemlock
1029,Damiana
1030,Coltsfoot
1031,Melloco
1031,Ulluco
1032,Slippery Elm
1033,California Bay
1034,Gambir
1034,Pale Catechu
1035,Indian Squill
1035,Sea-Onion
1036,European Squill
1037,European Nettle
1037,Stinging Nettle
1038,Blueberry
1039,Cranberry
1040,Bilberry
1040,Whortleberry
1041,Cowberry
1041,Lingen
1041,Lingonberry
1042,Valerian
1043,Corn Salad
1043,Lamb's Lettuce
1044,Vanilla
1045,Tahiti Vanilla
1046,White Hellebore
1047,American Hellebore
1047,Indian Poke
1048,Mullein
1049,Vervain
1050,Common Speedwell
1050,Gypsyweed
1051,Cus-Cus
1051,Vetiver
1052,Crampbark
1052,European Cranberry Bush
1052,Guelder Rose
1053,Black Haw
1054,Broadbean
1054,Faba Bean
1055,Mat Bean
1055,Moth Bean
1056,Adzuki Bean
1057,Black Gram
1058,Green Gram
1058,Mungbean
1059,Bambarra Groundnut
1059,Groundbean
1062,Periwinkle
1063,Common Violet
1063,Sweet Violet
1064,Pansy
1064,Wild Violet
1065,Parica
1066,European Mistletoe
1067,Chaste-Tree
1068,Grape
1069,Warburghia
1070,Goldcup
1070,Pasmo
1071,Ashwagandha
1072,Malanga
1072,Tannia
1072,Yautia
1073,Spanish Bayonet
1073,Yucca
1074,Joshua Tree
1075,Mohave Yucca
1076,Northern Prickly Ash
1077,Corn
1078,Ginger
1079,Da-Zao
1079,Jujube
1079,Ta-Tsao
1080,Syrian Christ-Thorn
1081,Tulip
1082,Chilgoza Pine
1083,Khasi Pine
1084,Chir Pine
1084,Himalayan Longleaf
1085,Bhutan Pine
1086,Himalayan Mayapple
1087,Chinese Mayapple
1088,Cedron
1089,Wasakusili
1090,Savanna Courbaril
1091,Cajurana
1092,Skimmia
1093,Japanese Skimmia
1094,Indian Valerian
1095,Ucahuba
1095,Ucuuba
1096,Indian Prickly Ash
1096,Wartara Oil Tree
1097,Pondapple
1098,Mountain Soursop
1099,Indian Wintergreen
1100,Rye
1101,Chia
1108,Ajicito
1108,Coca de pescado
1109,Guarda orvalho
1117,Hayo
1123,Mamacoca
1124,Bastard sandal
1124,Red cedar
1130,Arco de pipa
1133,Arabillo
1133,Jiba
1135,Wild coca
1136,Cerecito
1136,Hayo
1136,Jaillito
1140,Ichang papeda
1141,Meyer lemon
1142,Meyer's citrus
1142,Yuzu
1143,Citrus
1144,Satsuma mandarin
1145,EQUATORIAL IVORY PALM
1146,IVORY NUT PALM
1149,Sallow Thorn
